Site,Observation Number,Butterfly Visits,Bumblebee Visits,Hoverfly Visits,Hummingbird Visits,Other fly Visits,Solitary bee Visits,Wasp Visits,Visit Abundance,Observers,Year,Drought,Time,Butterfly Visitors,Bumblebee Visitors,Hoverfly Visitors,Hummingbird Visitors,Other fly Visitors,Solitary bee Visitors,Wasp Visitors,Visitor Abundance,Richness
P98,1,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,2,0,0,0,6,0,0,0,6,1,1998,Non-drought,1,0,0,0,1,0,0,0,1,1
P98,3,0,0,15,0,0,0,0,15,1,1998,Non-drought,1,0,0,8,0,0,0,0,8,1
P98,4,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,5,0,0,0,0,12,5,0,17,1,1998,Non-drought,1,0,0,0,0,4,2,0,6,2
P98,6,0,0,0,32,1,0,0,33,1,1998,Non-drought,1,0,0,0,6,1,0,0,7,2
P98,7,0,0,0,15,0,0,0,15,1,1998,Non-drought,1,0,0,0,2,0,0,0,2,1
P98,8,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,9,0,0,0,5,0,0,0,5,1,1998,Non-drought,1,0,0,0,3,0,0,0,3,1
P98,10,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,11,0,2,0,8,0,0,0,10,1,1998,Non-drought,1,0,1,0,2,0,0,0,3,2
P98,12,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,13,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,14,0,0,0,0,1,0,0,1,1,1998,Non-drought,1,0,0,0,0,1,0,0,1,1
P98,15,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,16,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,17,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,18,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
P98,19,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,1,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,2,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,3,0,0,0,0,0,3,0,3,1,1998,Non-drought,1,0,0,0,0,0,2,0,2,1
T98,4,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,5,0,0,0,0,2,0,0,2,1,1998,Non-drought,1,0,0,0,0,1,0,0,1,1
T98,6,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,7,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,8,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,9,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,10,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,11,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,12,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,13,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,14,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,15,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,16,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
T98,17,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,1,0,0,2,0,7,2,0,11,1,1998,Non-drought,1,0,0,1,0,4,1,0,6,3
V98,2,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,3,0,0,0,5,0,0,0,5,1,1998,Non-drought,1,0,0,0,1,0,0,0,1,1
V98,4,0,0,0,16,0,0,0,16,1,1998,Non-drought,1,0,0,0,3,0,0,0,3,1
V98,5,0,0,4,0,0,0,0,4,1,1998,Non-drought,1,0,0,1,0,0,0,0,1,1
V98,6,0,0,0,2,0,0,0,2,1,1998,Non-drought,1,0,0,0,1,0,0,0,1,1
V98,7,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,8,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,9,0,0,0,4,0,0,0,4,1,1998,Non-drought,1,0,0,0,1,0,0,0,1,1
V98,10,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,11,0,0,0,15,0,0,0,15,1,1998,Non-drought,1,0,0,0,3,0,0,0,3,1
V98,12,0,0,0,0,0,0,0,0,1,1998,Non-drought,1,0,0,0,0,0,0,0,0,0
V98,13,0,0,0,7,0,0,0,7,1,1998,Non-drought,1,0,0,0,3,0,0,0,3,1
V98,14,0,0,1,0,0,0,0,1,1,1998,Non-drought,1,0,0,1,0,0,0,0,1,1
